"filename", "language", "JavaScript", "TypeScript", "TypeScript React", "XML", "CSS", "JavaScript React", "JSON", "Less", "comment", "blank", "total"
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyIcon4.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 17
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyIcon5.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyRole1.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyRole2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyTab1.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyTab2.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyTab3.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 0, 18
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyTab4.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 0, 18
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/companyUp.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/computer.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/confidence.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/confidencew.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/contactBook.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/contactGroup.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/contactOkr.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/contactTree-black.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/contactTree.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 17
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/contactTreeb.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 17
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/cooperation1.svg", "XML", 0, 0, 0, 33, 0, 0, 0, 0, 1, 0, 34
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/cooperation2.svg", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 1, 0, 21
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/cooperation3.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 19
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/createChild.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 17
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/createGroup.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 19
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/createbro.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 17
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/cry.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 14
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customService.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 1, 0, 11
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer1.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer10.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer11.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer12.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer13.svg", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer2.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer3.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer4.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"/Users/xiaodi/Desktop/program/react/react-workfly/src/assets/svg/customer5.svg", "XML", 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
