Date : 2023-01-18 11:55:38
Directory : /Users/xiaodi/Desktop/program/react/react-workfly/src
Total : 659 files,  83959 codes, 8018 comments, 3083 blanks, all 95060 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableDocument.css       | CSS              |         37 |          0 |          5 |         42 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableDocument.tsx       | TypeScript React |        164 |          0 |          4 |        168 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableGroup.css          | CSS              |        231 |          9 |         38 |        278 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableGroup.tsx          | TypeScript React |        920 |         46 |         25 |        991 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableHeader.css         | CSS              |        185 |          3 |         23 |        211 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableHeader.tsx         | TypeScript React |      1,333 |         47 |         12 |      1,392 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableInfo.tsx           | TypeScript React |        573 |        355 |          9 |        937 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTablePerson.css         | CSS              |          0 |          0 |          2 |          2 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTablePerson.tsx         | TypeScript React |        270 |         24 |         10 |        304 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableTree.css           | CSS              |        348 |         12 |         51 |        411 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableTree.tsx           | TypeScript React |      2,114 |        256 |         33 |      2,403 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableTreeItem.css       | CSS              |         32 |          0 |          1 |         33 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableTreeItem.tsx       | TypeScript React |         82 |          0 |          3 |         85 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/groupTableTreeType.tsx       | TypeScript React |         95 |          0 |          3 |         98 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/groupTable/test.jsx                     | JavaScript React |         83 |         21 |         19 |        123 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/home/home.css                           | CSS              |        250 |         14 |         40 |        304 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/home/home.tsx                           | TypeScript React |        744 |        223 |         18 |        985 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/home/homeCanvas.jsx                     | JavaScript React |        111 |          4 |          9 |        124 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/invite/invite.tsx                       | TypeScript React |        149 |          2 |          3 |        154 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/oInfo.tsx                           | TypeScript React |        137 |          0 |          2 |        139 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okr.css                             | CSS              |         57 |          0 |          5 |         62 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okr.tsx                             | TypeScript React |        603 |         19 |          6 |        628 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrDialog.css                       | CSS              |         64 |          0 |         13 |         77 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrDialog.tsx                       | TypeScript React |        152 |          0 |          1 |        153 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrHeader.css                       | CSS              |         95 |          2 |         14 |        111 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrHeader.tsx                       | TypeScript React |        518 |          7 |         10 |        535 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrItem.css                         | CSS              |        316 |         17 |         50 |        383 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrItem.tsx                         | TypeScript React |      2,164 |        100 |         12 |      2,276 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrList.css                         | CSS              |         65 |          0 |         12 |         77 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrList.tsx                         | TypeScript React |        131 |          0 |          1 |        132 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrStatistics.css                   | CSS              |         24 |          0 |          1 |         25 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrStatistics.tsx                   | TypeScript React |        134 |          1 |          2 |        137 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrTable.css                        | CSS              |         46 |          0 |         10 |         56 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrTable.tsx                        | TypeScript React |        237 |          1 |          6 |        244 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrTree.css                         | CSS              |          0 |          0 |          1 |          1 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/okr/okrTree.tsx                         | TypeScript React |         43 |          2 |          1 |         46 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/phoneHome/phoneContent.css              | CSS              |         89 |          0 |         13 |        102 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/phoneHome/phoneContent.tsx              | TypeScript React |        618 |         67 |         10 |        695 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/phoneHome/phoneHome.css                 | CSS              |         22 |          5 |          5 |         32 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/phoneHome/phoneHome.tsx                 | TypeScript React |        186 |          2 |          7 |        195 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/phoneHome/phoneTree.css                 | CSS              |        104 |          0 |         15 |        119 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/phoneHome/phoneTree.tsx                 | TypeScript React |      1,077 |         58 |         18 |      1,153 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/showPage/showPage.css                   | CSS              |        364 |         10 |         56 |        430 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/showPage/showPage.tsx                   | TypeScript React |        726 |         39 |         20 |        785 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/showPage/timePoint.tsx                  | TypeScript React |         71 |         13 |          3 |         87 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupConfig.tsx                    | TypeScript React |        211 |        270 |         12 |        493 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupCreate.tsx                    | TypeScript React |        308 |         36 |          6 |        350 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupMember.css                    | CSS              |        199 |          5 |         35 |        239 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupMember.tsx                    | TypeScript React |      1,017 |         80 |         21 |      1,118 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupModel.css                     | CSS              |        245 |          3 |         34 |        282 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupModel.tsx                     | TypeScript React |        323 |          4 |          9 |        336 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupSet.css                       | CSS              |        105 |          7 |         15 |        127 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/groupSet.tsx                       | TypeScript React |        384 |        133 |         16 |        533 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/tabs.css                           | CSS              |        248 |         16 |         39 |        303 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/tabs/tabs.tsx                           | TypeScript React |        660 |         40 |         16 |        716 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/test/test.css                           | CSS              |         48 |          0 |          0 |         48 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/test/test.tsx                           | TypeScript React |          9 |          0 |          4 |         13 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/welcome/homeImg.tsx                     | TypeScript React |         13 |          1 |          3 |         17 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/welcome/htmlWelcome.css                 | CSS              |        345 |         23 |         51 |        419 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/welcome/htmlWelcome.tsx                 | TypeScript React |        544 |         60 |          6 |        610 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/welcome/phoneWelcome.css                | CSS              |         92 |          3 |         13 |        108 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/welcome/phoneWelcome.tsx                | TypeScript React |        310 |          2 |          5 |        317 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/welcome/welcome.css                     | CSS              |         20 |         52 |          3 |         75 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/welcome/welcome.tsx                     | TypeScript React |        125 |          9 |          5 |        139 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingCalendar.css        | CSS              |         61 |          4 |          1 |         66 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingCalendar.tsx        | TypeScript React |        200 |          0 |          7 |        207 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingReport.css          | CSS              |        523 |          8 |         79 |        610 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingReport.tsx          | TypeScript React |        768 |        129 |         18 |        915 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingReport1.css         | CSS              |        509 |          8 |         71 |        588 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingReport1.tsx         | TypeScript React |        979 |         40 |         16 |      1,035 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTable.css           | CSS              |         36 |          0 |          5 |         41 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTable.tsx           | TypeScript React |        188 |         26 |         11 |        225 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTableGroup.tsx      | TypeScript React |        287 |          8 |          6 |        301 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTableHeader.css     | CSS              |        227 |          4 |         37 |        268 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTableHeader.tsx     | TypeScript React |        972 |        107 |         12 |      1,091 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTableLabel.css      | CSS              |         99 |         23 |         16 |        138 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTableLabel.tsx      | TypeScript React |        338 |         25 |         11 |        374 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTableSimple.css     | CSS              |         38 |          3 |          1 |         42 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/views/workingTable/workingTableSimple.tsx     | TypeScript React |         38 |        238 |          9 |        285 |
| Total                                                                                               |                  |     83,959 |      8,018 |      3,083 |     95,060 |
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
