Date : 2023-01-18 11:55:38
Directory : /Users/xiaodi/Desktop/program/react/react-workfly/src
Total : 659 files,  83959 codes, 8018 comments, 3083 blanks, all 95060 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/headerSet/headerCreate.tsx         | TypeScript React |        603 |         55 |         18 |        676 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/headerSet/headerMessage.tsx        | TypeScript React |         35 |          1 |          2 |         38 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/headerSet/headerSet.css            | CSS              |        331 |         16 |         48 |        395 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/headerSet/headerSet.tsx            | TypeScript React |        499 |         66 |         11 |        576 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/qrCode/qrCode.tsx                  | TypeScript React |         28 |          1 |          2 |         31 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/randomBg/randomBg.css              | CSS              |         16 |          0 |          1 |         17 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/randomBg/randomBg.tsx              | TypeScript React |        122 |          4 |          4 |        130 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/star/star.css                      | CSS              |         12 |          0 |          1 |         13 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/star/star.tsx                      | TypeScript React |         69 |          1 |          2 |         72 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/task/task.css                      | CSS              |        378 |         57 |         61 |        496 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/task/task.tsx                      | TypeScript React |      1,130 |        199 |         16 |      1,345 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/task/taskCustom.tsx                | TypeScript React |        145 |          8 |          9 |        162 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/task/taskMember.tsx                | TypeScript React |        312 |         18 |          6 |        336 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/task/taskSimple.css                | CSS              |         55 |          0 |          1 |         56 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/task/taskSimple.tsx                | TypeScript React |        638 |         72 |          9 |        719 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/taskInfo/taskInfo.css              | CSS              |        361 |         37 |         57 |        455 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/taskInfo/taskInfo.tsx              | TypeScript React |      1,216 |        223 |         14 |      1,453 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/taskNav/taskNav.css                | CSS              |        155 |          0 |         24 |        179 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/taskNav/taskNav.tsx                | TypeScript React |      1,008 |         98 |         12 |      1,118 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/book.css                      | CSS              |          4 |          2 |          0 |          6 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/book.tsx                      | TypeScript React |        138 |         30 |          6 |        174 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/book/bookEditor.css           | CSS              |         59 |          1 |          5 |         65 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/book/bookEditor.tsx           | TypeScript React |        383 |         18 |          7 |        408 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/book/bookView.css             | CSS              |         20 |          0 |          1 |         21 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/book/bookView.tsx             | TypeScript React |         71 |          0 |          4 |         75 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/link.css                      | CSS              |         16 |          0 |          1 |         17 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/link.tsx                      | TypeScript React |         59 |          2 |          8 |         69 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/markDown/CodeBlock.tsx        | TypeScript React |         16 |         10 |          4 |         30 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/markDown/Markdown.tsx         | TypeScript React |         33 |          0 |          3 |         36 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/markDown/MarkdownEditor.css   | CSS              |         43 |          0 |          3 |         46 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/markDown/MarkdownEditor.tsx   | TypeScript React |         59 |          3 |          5 |         67 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/markDown/MarkdownViewer.css   | CSS              |         20 |          0 |          2 |         22 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/markDown/MarkdownViewer.tsx   | TypeScript React |         23 |          0 |          4 |         27 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/tree/table.tsx                     | TypeScript React |         28 |          0 |          2 |         30 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/userCenter/userCenter.css          | CSS              |         81 |          0 |          1 |         82 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/userCenter/userCenter.tsx          | TypeScript React |        123 |        123 |          7 |        253 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/vitality/vitality.css              | CSS              |        264 |         14 |         40 |        318 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/vitality/vitality.tsx              | TypeScript React |        981 |        195 |         14 |      1,190 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/vitalityIcon/vitalityIcon.css      | CSS              |         13 |          1 |          1 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/components/vitalityIcon/vitalityIcon.tsx      | TypeScript React |        124 |          1 |          3 |        128 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/context/auth.tsx                              | TypeScript React |        167 |          8 |         11 |        186 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/hook/common.ts                                | TypeScript       |         23 |          4 |          4 |         31 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/hook/event.ts                                 | TypeScript       |         14 |          0 |          1 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/index.css                                     | CSS              |         52 |          2 |         10 |         64 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/index.less                                    | Less             |          3 |          0 |          0 |          3 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/index.tsx                                     | TypeScript React |         29 |          4 |          2 |         35 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/logo.svg                                      | XML              |          7 |          0 |          1 |          8 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/react-app-env.d.ts                            | TypeScript       |         50 |          3 |         14 |         67 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/actions/authActions.ts                  | TypeScript       |        193 |          6 |         14 |        213 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/actions/commonActions.ts                | TypeScript       |        195 |          0 |          7 |        202 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/actions/groupActions.ts                 | TypeScript       |         51 |          0 |          2 |         53 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/actions/memberActions.ts                | TypeScript       |        107 |          0 |          3 |        110 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/actions/taskActions.ts                  | TypeScript       |        195 |         21 |          5 |        221 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/reducer/RootState.ts                    | TypeScript       |         14 |          0 |          3 |         17 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/reducer/auth.ts                         | TypeScript       |        307 |          7 |          6 |        320 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/reducer/common.ts                       | TypeScript       |        234 |          2 |          2 |        238 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/reducer/group.ts                        | TypeScript       |         64 |          1 |          4 |         69 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/reducer/index.ts                        | TypeScript       |         14 |          0 |          3 |         17 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/reducer/member.ts                       | TypeScript       |        150 |          3 |          3 |        156 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/reducer/task.ts                         | TypeScript       |        298 |          6 |          3 |        307 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/saga/authSaga.ts                        | TypeScript       |        108 |          0 |          4 |        112 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/saga/groupSaga.ts                       | TypeScript       |         46 |          0 |          3 |         49 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/saga/memberSaga.ts                      | TypeScript       |        116 |          0 |          2 |        118 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/saga/rootSaga.ts                        | TypeScript       |          9 |          0 |          2 |         11 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/saga/taskSaga.ts                        | TypeScript       |        141 |         15 |          6 |        162 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/redux/store.ts                                | TypeScript       |         11 |          0 |          4 |         15 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/reportWebVitals.ts                            | TypeScript       |         13 |          0 |          3 |         16 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/routes/Routes.tsx                             | TypeScript React |         18 |          0 |          2 |         20 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/routes/index.tsx                              | TypeScript React |         13 |          9 |          3 |         25 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/serviceWorker1.ts                             | TypeScript       |        106 |         31 |         13 |        150 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/services/api.ts                               | TypeScript       |      1,878 |         97 |         11 |      1,986 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/services/qiniu.js                             | JavaScript       |         40 |          5 |          6 |         51 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/services/uploadImage.js                       | JavaScript       |         89 |         11 |         15 |        115 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/services/util.js                              | JavaScript       |         54 |          7 |          8 |         69 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/setupTests.ts                                 | TypeScript       |          1 |          4 |          1 |          6 |
| /Users/xiaodi/Desktop/program/react/react-workfly/src/typing.d.ts                                   | TypeScript       |          5 |          0 |          0 |          5 |
